TYPECOM,COM,REG,DEP,CTCD,ARR,TNCC,NCC,NCCENR,LIBELLE,CAN,COMPARENT
COM,56001,53.0,56,56D,563,1,ALLAIRE,Allaire,Allaire,5604,
COM,56002,53.0,56,56D,563,1,AMBON,Ambon,Ambon,5611,
COM,56003,53.0,56,56D,563,1,ARRADON,Arradon,Arradon,5620,
COM,56004,53.0,56,56D,563,1,ARZAL,Arzal,Arzal,5611,
COM,56005,53.0,56,56D,563,1,ARZON,Arzon,Arzon,5618,
COM,56006,53.0,56,56D,563,1,AUGAN,Augan,Augan,5604,
COM,56007,53.0,56,56D,561,1,AURAY,Auray,Auray,5601,
COM,56008,53.0,56,56D,563,0,BADEN,Baden,Baden,5620,
COM,56009,53.0,56,56D,561,0,BANGOR,Bangor,Bangor,5617,
COM,56010,53.0,56,56D,562,0,BAUD,Baud,Baud,5615,
COM,56011,53.0,56,56D,563,0,BEGANNE,Béganne,Béganne,5604,
COM,56012,53.0,56,56D,563,0,BEIGNON,Beignon,Beignon,5604,
COM,56013,53.0,56,56D,561,0,BELZ,Belz,Belz,5617,
COM,56014,53.0,56,56D,562,0,BERNE,Berné,Berné,5602,
COM,56015,53.0,56,56D,563,0,BERRIC,Berric,Berric,5616,
COM,56017,53.0,56,56D,562,0,BIGNAN,Bignan,Bignan,5610,
COM,56018,53.0,56,56D,563,0,BILLIERS,Billiers,Billiers,5611,
COM,56019,53.0,56,56D,562,0,BILLIO,Billio,Billio,5610,
COM,56020,53.0,56,56D,563,0,BOHAL,Bohal,Bohal,5610,
COM,56021,53.0,56,56D,561,0,BRANDERION,Brandérion,Brandérion,5614,
COM,56022,53.0,56,56D,563,0,BRANDIVY,Brandivy,Brandivy,5603,
COM,56023,53.0,56,56D,561,0,BRECH,Brech,Brech,5614,
COM,56024,53.0,56,56D,562,0,BREHAN,Bréhan,Bréhan,5603,
COM,56025,53.0,56,56D,562,0,BRIGNAC,Brignac,Brignac,5613,
COM,56026,53.0,56,56D,561,0,BUBRY,Bubry,Bubry,5605,
COM,56027,53.0,56,56D,562,0,BULEON,Buléon,Buléon,5610,
COM,56028,53.0,56,56D,563,0,CADEN,Caden,Caden,5616,
COM,56029,53.0,56,56D,561,0,CALAN,Calan,Calan,5605,
COM,56030,53.0,56,56D,563,0,CAMOEL,Camoël,Camoël,5611,
COM,56031,53.0,56,56D,561,0,CAMORS,Camors,Camors,5614,
COM,56032,53.0,56,56D,562,0,CAMPENEAC,Campénéac,Campénéac,5613,
COM,56033,53.0,56,56D,563,0,CARENTOIR,Carentoir,Carentoir,5604,
COM,56034,53.0,56,56D,561,0,CARNAC,Carnac,Carnac,5617,
COM,56035,53.0,56,56D,563,0,CARO,Caro,Caro,5610,
COM,56036,53.0,56,56D,561,0,CAUDAN,Caudan,Caudan,5607,
COM,56039,53.0,56,56D,562,3,CHAPELLE NEUVE,Chapelle-Neuve,La Chapelle-Neuve,5603,
COM,56040,53.0,56,56D,561,0,CLEGUER,Cléguer,Cléguer,5605,
COM,56041,53.0,56,56D,562,0,CLEGUEREC,Cléguérec,Cléguérec,5602,
COM,56042,53.0,56,56D,563,0,COLPO,Colpo,Colpo,5603,
COM,56043,53.0,56,56D,562,0,CONCORET,Concoret,Concoret,5613,
COM,56044,53.0,56,56D,563,0,COURNON,Cournon,Cournon,5604,
COM,56045,53.0,56,56D,563,2,COURS,Cours,Le Cours,5616,
COM,56046,53.0,56,56D,561,0,CRACH,Crach,Crach,5601,
COM,56047,53.0,56,56D,562,0,CREDIN,Crédin,Crédin,5603,
COM,56048,53.0,56,56D,562,2,CROISTY,Croisty,Le Croisty,5602,
COM,56050,53.0,56,56D,562,3,CROIX HELLEAN,Croix-Helléan,La Croix-Helléan,5613,
COM,56051,53.0,56,56D,562,0,CRUGUEL,Cruguel,Cruguel,5613,
COM,56052,53.0,56,56D,563,0,DAMGAN,Damgan,Damgan,5611,
COM,56053,53.0,56,56D,563,1,ELVEN,Elven,Elven,5616,
COM,56054,53.0,56,56D,561,1,ERDEVEN,Erdeven,Erdeven,5617,
COM,56055,53.0,56,56D,561,1,ETEL,Étel,Étel,5617,
COM,56056,53.0,56,56D,562,1,EVRIGUET,Évriguet,Évriguet,5613,
COM,56057,53.0,56,56D,562,2,FAOUET,Faouët,Le Faouët,5602,
