Nom,Lien,Prix,Lieu,Taille,Taille_terrain,Pieces,Prix au m2
Maison 22400,https://www.etreproprio.com/immobilier-23368456-vente-maison-22400-andel,714000.0,Andel 22400,255.0,2 143,6.0,2800.0
Maison 130m² à aucaleuc,https://www.etreproprio.com/immobilier-23446797-vente-maison-130m-a-aucaleuc-aucaleuc,312000.0,Aucaleuc 22100,130.0,3 402,5.0,2400.0
le charme de la pierre et l’authenticité d’un cadre bucolique vous attendent !,https://www.etreproprio.com/immobilier-23043634-vente-le-charme-de-la-pierre-et-l-authenticite-d-un-cadre-bucolique-vous-attendent-aucaleuc,190000.0,Aucaleuc 22100,112.0,1 631,5.0,1696.0
Maison 476m² à allineuc,https://www.etreproprio.com/immobilier-23810760-vente-maison-476m-a-allineuc-allineuc,490000.0,Allineuc 22460,476.0,8 848,21.0,1029.0
22460 - allineuc - maison familiale - basse consommation - 4 chambres - pac air/air - poêle à bois - jardin de + de 900m2,https://www.etreproprio.com/immobilier-23469032-vente-22460-allineuc-maison-familiale-basse-consommation-4-chambres-pac-airair-poele-a-bois-jardin-de-de-900m2-allineuc,170000.0,Allineuc 22460,106.0,,5.0,1604.0
Maison à rénover en pleine nature   grand potentiel avec dép,https://www.etreproprio.com/immobilier-23414973-vente-maison-a-renover-en-pleine-nature-grand-potentiel-avec-dep-allineuc,49900.0,Allineuc 22460,110.0,1 100,3.0,454.0
Maison 187m² à allineuc,https://www.etreproprio.com/immobilier-23331510-vente-maison-187m-a-allineuc-allineuc,235000.0,Allineuc 22460,187.0,835,9.0,1257.0
Maison 155m² à allineuc,https://www.etreproprio.com/immobilier-23331516-vente-maison-155m-a-allineuc-allineuc,245000.0,Allineuc 22460,155.0,904,7.0,1581.0
Maison  4 pièce(s) 110 m2,https://www.etreproprio.com/immobilier-22940219-vente-maison-4-pieces-110-m2-allineuc,53990.0,Allineuc 22460,110.0,1 136,4.0,491.0
Maison - 5 pièces - 106 m² - allineuc 22460,https://www.etreproprio.com/immobilier-22759681-vente-maison-5-pieces-106-m-allineuc-22460-allineuc,170000.0,Allineuc 22460,106.0,946,5.0,1604.0
"Côtes-d'armor, près d'uzel, charmante maison en pierre de 4 chambres avec dépendances dans la tranquille campagne bretonne",https://www.etreproprio.com/immobilier-21526561-vente-cotes-d-armor-pres-d-uzel-charmante-maison-en-pierre-de-4-chambres-avec-dependances-dans-la-tranquille-campagne-bretonne-allineuc,222000.0,Allineuc 22460,156.0,3 060,9.0,1423.0
Ferme  4550 m2,https://www.etreproprio.com/immobilier-22024520-vente-ferme-4550-m2-allineuc,661000.0,Allineuc 22460,4550.0,68 430,1.0,145.0
Maison 97m² à begard,https://www.etreproprio.com/immobilier-23892889-vente-maison-97m-a-begard-begard,284000.0,Begard 22140,97.0,660,5.0,2928.0
Maison 83m² à begard,https://www.etreproprio.com/immobilier-23831425-vente-maison-83m-a-begard-begard,141000.0,Begard 22140,83.0,623,4.0,1699.0
Maison 96m² à begard,https://www.etreproprio.com/immobilier-23817582-vente-maison-96m-a-begard-begard,284900.0,Begard 22140,97.0,660,4.0,2937.0
Maison 98m² à begard,https://www.etreproprio.com/immobilier-23702771-vente-maison-98m-a-begard-begard,299000.0,Begard 22140,98.0,1 171,5.0,3051.0
