Nom,Lien,Prix,Lieu,Taille,Taille_terrain,Pieces,#Code_commune_INSEE
Appartement t4 61m² champigny sur marne,https://www.etreproprio.com/immobilier-23841666-vente-appartement-t4-61m-champigny-sur-marne-champigny-sur-marne,200 000,Champigny-Sur-Marne 94500,61.0,,4.0,94017
Appartement 22m² à le coudray-montceaux,https://www.etreproprio.com/immobilier-23843833-vente-appartement-22m-a-le-coudray-montceaux-le-coudray-montceaux,86 000,Le Coudray-Montceaux 91830,22.0,,1.0,
Appartement maisons laffitte 1 pièce(s) 20 m2,https://www.etreproprio.com/immobilier-23842898-vente-appartement-maisons-laffitte-1-pieces-20-m2-maisons-laffitte,179 000,Maisons-Laffitte 78600,20.0,,1.0,78358
Appartement 31m² à boulogne-billancourt,https://www.etreproprio.com/immobilier-23840506-vente-appartement-31m-a-boulogne-billancourt-boulogne-billancourt,310 000,Boulogne-Billancourt 92100,31.0,,2.0,92012
À vendre - levallois-perret - square edith-de-villepin - appartement 4 pièces de 118.54m² + terrasse de 22m²,https://www.etreproprio.com/immobilier-23842633-vente-a-vendre-levallois-perret-square-edith-de-villepin-appartement-4-pieces-de-11854m-terrasse-de-22m-levallois-perret,1 350 000,Levallois-Perret 92300,119.0,,4.0,92044
Saint germain en laye - quartier forêt,https://www.etreproprio.com/immobilier-22085257-vente-saint-germain-en-laye-quartier-foret-saint-germain-en-laye,860 000,Saint-Germain-En-Laye 78100,119.0,,5.0,
Vues dégagées - terrasse - lumineux,https://www.etreproprio.com/immobilier-23840013-vente-vues-degagees-terrasse-lumineux-paris-1e,440 000,Paris-1e 75001,31.0,,1.0,
Appartement de 1 pièce de 35 m² situé à osny,https://www.etreproprio.com/immobilier-23836746-vente-appartement-de-1-piece-de-35-m-situe-a-osny-osny,124 000,Osny 95520,35.0,,1.0,95476
Le plessis robinson le clos fanny,https://www.etreproprio.com/immobilier-23836366-vente-le-plessis-robinson-le-clos-fanny-le-plessis-robinson,570 000,Le Plessis-Robinson 92350,97.0,,4.0,
Paris seine  - proche champ de mars - calme,https://www.etreproprio.com/immobilier-23841943-vente-paris-seine-proche-champ-de-mars-calme-paris-15e,259 000,Paris-15e 75015,21.0,,1.0,
Appartement suresnes 3 pièce(s) 53 m2,https://www.etreproprio.com/immobilier-23842296-vente-appartement-suresnes-3-pieces-53-m2-suresnes,298 000,Suresnes 92150,53.0,,3.0,92073
Appartement saint maurice 2 pièce(s) 50 m2,https://www.etreproprio.com/immobilier-23660119-vente-appartement-saint-maurice-2-pieces-50-m2-saint-maurice,410 000,Saint-Maurice 94410,50.0,,2.0,
Appartement paris 4 pièce(s) 68 m2,https://www.etreproprio.com/immobilier-23842220-vente-appartement-paris-4-pieces-68-m2-paris-10e,987 000,Paris-10e 75010,68.0,,4.0,
Appartement f3 avec jardin et sous sol.,https://www.etreproprio.com/immobilier-23840346-vente-appartement-f3-avec-jardin-et-sous-sol-breuillet,213 200,Breuillet 91650,59.0,460.0,3.0,91105
Paris 5 - saint victor,https://www.etreproprio.com/immobilier-23837829-vente-paris-5-saint-victor-paris-5e,750 000,Paris-5e 75005,73.0,,4.0,
Vente appartement 3 pièces de 62m² - 77100 meaux,https://www.etreproprio.com/immobilier-23836287-vente-vente-appartement-3-pieces-de-62m-77100-meaux-meaux,,,,,,
Appartement boulogne billancourt 3 pièce(s) 73 m2,https://www.etreproprio.com/immobilier-23840373-vente-appartement-boulogne-billancourt-3-pieces-73-m2-boulogne-billancourt,,,,,,
Vente appartement 3 pièces de 51m² - 92300 levallois-perret,https://www.etreproprio.com/immobilier-23836284-vente-vente-appartement-3-pieces-de-51m-92300-levallois-perret-levallois-perret,,,,,,
Appartement 54m² à paris-10e,https://www.etreproprio.com/immobilier-23842755-vente-appartement-54m-a-paris-10e-paris-10e,,,,,,
T1 de 30 m² à garges-lès-gonesse avec cave,https://www.etreproprio.com/immobilier-23530288-vente-t1-de-30-m-a-garges-les-gonesse-avec-cave-garges-les-gonesse,,,,,,
75015 - convention /  rue yvart - appartement 123 m² - 3 chambres  balcons,https://www.etreproprio.com/immobilier-23839526-vente-75015-convention-rue-yvart-appartement-123-m-3-chambres-balcons-paris-15e,,,,,,
Vente appartement t2 _ courbevoie,https://www.etreproprio.com/immobilier-23838576-vente-vente-appartement-t2-courbevoie-courbevoie,,,,,,
** exclusivité paris seine - 2 pieces - dernier étage -  rue chevert - calme **,https://www.etreproprio.com/immobilier-23841939-vente-exclusivite-paris-seine-2-pieces-dernier-etage-rue-chevert-calme-paris-7e,,,,,,
"Appartement t3 de 75,26 m²",https://www.etreproprio.com/immobilier-22281769-vente-appartement-t3-de-7526-m-le-chesnay,,,,,,
"Paris 18e - montmartre - appartement à vendre - 2 pièces - 50,01m² carrez - 1 chambre.",https://www.etreproprio.com/immobilier-23839047-vente-paris-18e-montmartre-appartement-a-vendre-2-pieces-5001m-carrez-1-chambre-paris-18e,,,,,,
À vendre : appartement 3 pièces à auvers sur oise,https://www.etreproprio.com/immobilier-23838924-vente-a-vendre-appartement-3-pieces-a-auvers-sur-oise-auvers-sur-oise,,,,,,
Appartement 28m² à neuilly-sur-seine,https://www.etreproprio.com/immobilier-23838970-vente-appartement-28m-a-neuilly-sur-seine-neuilly-sur-seine,,,,,,
Appartement 50m² à paris-20e,https://www.etreproprio.com/immobilier-23843789-vente-appartement-50m-a-paris-20e-paris-20e,,,,,,
Appartement 42m² à ivry-sur-seine,https://www.etreproprio.com/immobilier-23113373-vente-appartement-42m-a-ivry-sur-seine-ivry-sur-seine,,,,,,
Spacieux appartement de 5 pièces ensoleillé,https://www.etreproprio.com/immobilier-23839279-vente-spacieux-appartement-de-5-pieces-ensoleille-paris-11e,,,,,,
Appartement 68m² à saint-leu-la-forêt,https://www.etreproprio.com/immobilier-23839103-vente-appartement-68m-a-saint-leu-la-foret-saint-leu-la-foret,,,,,,
5 pièces de 114m2 hypercentre,https://www.etreproprio.com/immobilier-23298572-vente-5-pieces-de-114m2-hypercentre-garches,,,,,,
Appartement,https://www.etreproprio.com/immobilier-23839322-vente-appartement-saint-ouen,,,,,,
Appartement 41m² à ozoir-la-ferriere,https://www.etreproprio.com/immobilier-23844226-vente-appartement-41m-a-ozoir-la-ferriere-ozoir-la-ferriere,,,,,,
Appartement 5 pièces,https://www.etreproprio.com/immobilier-23837939-vente-appartement-5-pieces-massy,,,,,,
Appartement bezons 3 pièce(s) 62 m2,https://www.etreproprio.com/immobilier-22872079-vente-appartement-bezons-3-pieces-62-m2-bezons,,,,,,
Charmant studio avec coin nuit – vieux saint-maur – à deux pas de la place d’armes,https://www.etreproprio.com/immobilier-23561160-vente-charmant-studio-avec-coin-nuit-vieux-saint-maur-a-deux-pas-de-la-place-d-armes-saint-maur-des-fosses,,,,,,
Appartement 25m² à livry-gargan,https://www.etreproprio.com/immobilier-23843551-vente-appartement-25m-a-livry-gargan-livry-gargan,,,,,,
Appartement,https://www.etreproprio.com/immobilier-23836857-vente-appartement-paris-15e,,,,,,
Appartement colombes 6 pièces 92.08 m2,https://www.etreproprio.com/immobilier-23842314-vente-appartement-colombes-6-pieces-9208-m2-colombes,,,,,,
Neuilly sablons pasteur 4 chambres,https://www.etreproprio.com/immobilier-23839747-vente-neuilly-sablons-pasteur-4-chambres-neuilly-sur-seine,,,,,,
Appartement villebon sur yvette 3 pièce(s) 67 m2,https://www.etreproprio.com/immobilier-23841443-vente-appartement-villebon-sur-yvette-3-pieces-67-m2-villebon-sur-yvette,,,,,,
2 pièces lumineux avec rentabilité attractive,https://www.etreproprio.com/immobilier-23841300-vente-2-pieces-lumineux-avec-rentabilite-attractive-aubervilliers,,,,,,
Appartement 145m² à puteaux,https://www.etreproprio.com/immobilier-23838826-vente-appartement-145m-a-puteaux-puteaux,,,,,,
Appartement 3 pièces et bureau - asnières sur seine magenta/ cha,https://www.etreproprio.com/immobilier-23836176-vente-appartement-3-pieces-et-bureau-asnieres-sur-seine-magenta-cha-asnieres-sur-seine,,,,,,
Appartement 105m² à chevilly-larue,https://www.etreproprio.com/immobilier-23843708-vente-appartement-105m-a-chevilly-larue-chevilly-larue,,,,,,
Appartement 65m² à paris-10e,https://www.etreproprio.com/immobilier-23841630-vente-appartement-65m-a-paris-10e-paris-10e,,,,,,
Appartement verneuil sur seine 2 pièce(s) 50 m2,https://www.etreproprio.com/immobilier-23842373-vente-appartement-verneuil-sur-seine-2-pieces-50-m2-verneuil-sur-seine,,,,,,
Appartement 62m² à les clayes-sous-bois,https://www.etreproprio.com/immobilier-23512418-vente-appartement-62m-a-les-clayes-sous-bois-les-clayes-sous-bois,,,,,,
"Appartement chatou - 3 pièce(s) - 58,2 m2",https://www.etreproprio.com/immobilier-23842084-vente-appartement-chatou-3-pieces-582-m2-chatou,,,,,,
Appartement de 3 pièces de 63 m² situé à aubervilliers,https://www.etreproprio.com/immobilier-23836734-vente-appartement-de-3-pieces-de-63-m-situe-a-aubervilliers-aubervilliers,,,,,,
Appartement 22m² à saint-germain-en-laye,https://www.etreproprio.com/immobilier-23838788-vente-appartement-22m-a-saint-germain-en-laye-saint-germain-en-laye,,,,,,
Appartement 50 m2 avec parking,https://www.etreproprio.com/immobilier-23358334-vente-appartement-50-m2-avec-parking-sainte-genevieve-des-bois,,,,,,
Appartement 18m² à ivry-sur-seine,https://www.etreproprio.com/immobilier-23843769-vente-appartement-18m-a-ivry-sur-seine-ivry-sur-seine,,,,,,
Charmant 2 pièces,https://www.etreproprio.com/immobilier-23838624-vente-charmant-2-pieces-montreuil,,,,,,
Appartement bougival 4 pièce(s) 85.37 m2,https://www.etreproprio.com/immobilier-23841848-vente-appartement-bougival-4-pieces-8537-m2-bougival,,,,,,
Appartement 124m² à maisons-alfort,https://www.etreproprio.com/immobilier-23843150-vente-appartement-124m-a-maisons-alfort-maisons-alfort,,,,,,
Appartement 3 piéces - montgeron,https://www.etreproprio.com/immobilier-23698863-vente-appartement-3-pieces-montgeron-montgeron,,,,,,
Appartement 43m² à courbevoie,https://www.etreproprio.com/immobilier-23842100-vente-appartement-43m-a-courbevoie-courbevoie,,,,,,
Appartement,https://www.etreproprio.com/immobilier-23836914-vente-appartement-le-plessis-trevise,,,,,,
Appartement 58m² à sainte-genevieve-des-bois,https://www.etreproprio.com/immobilier-23640520-vente-appartement-58m-a-sainte-genevieve-des-bois-sainte-genevieve-des-bois,,,,,,
"À vendre - paris 17e pereire - appartement 2 pièces de 34,05 m²",https://www.etreproprio.com/immobilier-23842666-vente-a-vendre-paris-17e-pereire-appartement-2-pieces-de-3405-m-paris-17e,,,,,,
Appartement 57m² à palaiseau,https://www.etreproprio.com/immobilier-23844488-vente-appartement-57m-a-palaiseau-palaiseau,,,,,,
Charmant f3 avec jardin privatif à bobigny,https://www.etreproprio.com/immobilier-23836794-vente-charmant-f3-avec-jardin-privatif-a-bobigny-bobigny,,,,,,
La celle st cloud,https://www.etreproprio.com/immobilier-22516456-vente-la-celle-st-cloud-la-celle-saint-cloud,,,,,,
2 pièces mairie du xvème,https://www.etreproprio.com/immobilier-23840317-vente-2-pieces-mairie-du-xveme-paris-15e,,,,,,
Appartement à vendre 5 pièces choisy le roi (94),https://www.etreproprio.com/immobilier-23836957-vente-appartement-a-vendre-5-pieces-choisy-le-roi-94-choisy-le-roi,,,,,,
Appartement 61m² à argenteuil,https://www.etreproprio.com/immobilier-23077427-vente-appartement-61m-a-argenteuil-argenteuil,,,,,,
Appartement de 5 pièces de 106 m² situé à courbevoie,https://www.etreproprio.com/immobilier-23836762-vente-appartement-de-5-pieces-de-106-m-situe-a-courbevoie-courbevoie,,,,,,
Appartement 18m² à vaucresson,https://www.etreproprio.com/immobilier-23839060-vente-appartement-18m-a-vaucresson-vaucresson,,,,,,
Immeuble les pavillons sous bois 10 pièce(s) 195 m2,https://www.etreproprio.com/immobilier-23842086-vente-immeuble-les-pavillons-sous-bois-10-pieces-195-m2-les-pavillons-sous-bois,,,,,,
Appartement 105m² à sannois,https://www.etreproprio.com/immobilier-23839108-vente-appartement-105m-a-sannois-sannois,,,,,,
Appartement  2 pièce(s) 42 m2+  cave,https://www.etreproprio.com/immobilier-23841908-vente-appartement-2-pieces-42-m2-cave-courbevoie,,,,,,
"Paris 4ème - rue de sevigne - beau duplex rénové, calme et lumineux",https://www.etreproprio.com/immobilier-23618282-vente-paris-4eme-rue-de-sevigne-beau-duplex-renove-calme-et-lumineux-paris-4e,,,,,,
Appartement 61m² à montevrain,https://www.etreproprio.com/immobilier-23131724-vente-appartement-61m-a-montevrain-montevrain,,,,,,
Boulogne i rue des peupliers i dernier etage,https://www.etreproprio.com/immobilier-23836377-vente-boulogne-i-rue-des-peupliers-i-dernier-etage-boulogne-billancourt,,,,,,
Appartement à guyancourt,https://www.etreproprio.com/immobilier-23839208-vente-appartement-a-guyancourt-guyancourt,,,,,,
Appartement  2 pièce(s),https://www.etreproprio.com/immobilier-23328645-vente-appartement-2-pieces-bezons,,,,,,
Appartement 45m² à vincennes,https://www.etreproprio.com/immobilier-23841188-vente-appartement-45m-a-vincennes-vincennes,,,,,,
Appartement alfortville 1 pièce(s) 28.50 m2,https://www.etreproprio.com/immobilier-23841663-vente-appartement-alfortville-1-pieces-2850-m2-alfortville,,,,,,
