Lieu,Nombre de maisons à vendre,Prix moyen au m2
Acigne 35690,30,2909
Agde 34300,1,4831
Agen 47000,1,1559
Airaines 80270,1,1958
Aix-En-Provence 13090,1,7000
Aix-En-Provence 13100,1,5374
Aix-La-Fayette 63980,1,1106
Ales 30100,1,962
Allaire 56350,25,2131
Allery 80270,1,1918
Allineuc 22460,10,1023
Amanlis 35150,4,1345
Amaye-Sur-Orne 14210,1,2320
Amboise 37400,1,2165
Ambon 56190,19,2863
Amiens 80000,1,2075
Amiens 80090,1,2554
Andel 22400,1,2800
Andilly 95580,1,3681
Andouille-Neuville 35250,2,2659
Angles 85750,2,2551
Antogny-Le-Tillac 37800,1,542
Antony 92160,1,4390
Antrain 35460,7,1722
Antrain 35560,19,1413
Arcachon 33120,1,14279
Argentre-Du-Plessis 35370,14,2029
Argol 29560,21,2829
Arjuzanx 40110,1,1456
Arques-La-Bataille 76880,1,2127
Arradon 56610,39,4971
Arras 62000,1,1776
Arzal 56190,22,3042
Arzano 29300,6,1796
Arzon 56640,71,5660
Asnieres-Sur-Seine 92600,1,7643
Aubenton 02500,1,860
Aubergenville 78410,1,2726
Aubigne 35250,2,1767
Aucaleuc 22100,2,2048
Audierne 29770,38,2281
Augan 56800,10,2006
Auray 56400,71,3626
Autrans 38880,1,2690
Availles-Sur-Seiche 35130,3,1511
Avignonet-Lauragais 31290,1,597
Avrille 85440,1,2255
Baden 56870,79,4898
Bages 11100,1,4585
Bagneres-De-Luchon 31110,1,2708
Bagnols-En-Foret 83600,1,4857
Baguer-Morvan 35120,8,1828
Baguer-Pican 35120,15,2029
Bailly-Romainvilliers 77700,1,3333
Bain-De-Bretagne 35470,46,1840
Bains-Sur-Oust 35600,14,1975
Bais 35680,13,1643
Balagny-Sur-Therain 60250,1,1889
Balaze 35500,16,2002
Bandol 83150,1,9085
Bangor 56360,8,6471
Bannalec 29380,61,2148
Barbezieux-Saint-Hilaire 16300,1,1215
Barentin 76360,1,2187
Barjac 30430,1,2462
Baud 56150,85,2059
Baulay 70160,1,964
Baulon 35580,7,2092
Bavincourt 62158,1,2432
Baye 29300,3,2205
Bazas 33430,1,2063
Bazoges-En-Pareds 85390,1,1147
Bazouges-La-Perouse 35560,15,1553
Beauce 35133,5,2366
Beauchastel 07800,1,1671
Beaune 21200,1,2722
Becherel 35190,11,2039
Bedee 35137,14,2543
Beganne 56350,17,2016
Begard 22140,18,2348
Beignon 56380,11,2591
Belbeuf 76240,1,2024
Belle-Isle-En-Terre 22810,9,1411
Bellenaves 03330,1,983
Belleville-Sur-Vie 85170,1,2233
Belz 56550,58,3308
Benodet 29950,33,4156
Berck 62600,1,3490
Bergerac 24100,2,1993
Berhet 22140,1,2846
Berne 56240,7,1338
Berre-L'etang 13130,1,4356
Berric 56230,9,2281
Berrien 29690,20,4803
Besancon 25000,1,2458
Besse-Sur-Braye 72310,1,1016
Betton 35830,51,3338
Beuvrages 59192,1,2353
Beuzec-Cap-Sizun 29790,6,2443
Beziers 34500,1,2453
Biganos 33380,2,3546
Bignan 56500,7,1876
Bihorel 76420,4,2968
Bille 35133,1,1607
Billiers 56190,2,4683
Billio 56420,1,991
Binic 22520,42,3393
Bleruais 35750,1,1848
Blois 41000,1,2544
Bobital 22100,4,2251
Bodilis 29400,5,2173
Bohal 56140,2,1767
Bohars 29820,6,3179
Bois-Guillaume 76230,1,2927
Boisgervilly 35360,8,2201
Boistrudan 35150,2,2943
Bolazec 29640,1,1622
Bollene 84500,1,3793
Bonnemain 35270,10,1725
Bonnieres-Sur-Seine 78270,1,2312
Bono 56400,32,3846
Bonsecours 76240,1,2113
Boqueho 22170,9,2100
Bordeaux 33300,1,5438
Bosc-Bordel 76750,1,2040
Botmeur 29690,2,1105
Botsorhel 29650,5,1055
Botsorhel 29651,1,3185
Bourbriac 22390,13,1522
Bourdic 30190,1,3962
Bourg-Blanc 29860,14,2293
Bourg-Des-Comptes 35890,15,2224
Bourgbarre 35230,32,2616
Bourges 18000,1,1310
Bourseul 22130,9,1708
Bovel 35330,1,1698
Branderion 56700,13,1749
Brandivy 56390,8,2540
Brasparts 29190,22,1086
Breal-Sous-Montfort 35310,18,2330
Breal-Sous-Vitre 35370,1,1680
Brece 35530,8,2492
Brech 56400,27,3220
Brehand 22510,4,1904
Brehan 56580,22,1711
Breles 29810,1,1543
Brennilis 29690,4,1232
Brest 29200,199,2558
Breteil 35160,6,2421
Briec 29510,16,2185
Brielles 35370,4,1128
Brie 35150,1,2154
Brignogan-Plage 29890,15,2214
Bringolo 22170,1,3269
Briollay 49125,1,2811
Broons 22250,17,1421
Bruc-Sur-Aff 35550,7,841
Brusvily 22100,5,2127
Bruz 35170,64,3263
Bubry 56310,27,1246
Buhy 95770,1,2465
Bulat-Pestivien 22160,1,553
Buleon 56420,3,1559
Bulles 60130,1,1848
Caden 56220,8,1933
Calais 62100,1,1980
Calanhel 22160,3,1643
Calan 56240,1,2059
Callac 22160,23,1406
Calorguen 22100,1,2769
Camaret-Sur-Mer 29570,57,3130
Camelas 66300,1,422
Camlez 22450,3,2610
Camoel 56130,10,2743
Camors 56330,43,2357
Campeneac 56800,11,1491
Cancale 35260,58,4116
Canihuel 22480,3,1473
Canteleu 76380,2,1187
Cany-Barville 76450,2,2086
Caouennec-Lanvezeac 22300,1,2676
Carantec 29660,57,3947
Cardroc 35190,2,2077
Carentoir 56910,28,1564
Carhaix-Plouguer 29270,47,1477
Carnac 56340,68,5634
Carnoet 22160,3,892
Caro 56140,13,1706
Carrieres-Sur-Seine 78420,1,4085
Castries 34160,1,4128
Cast 29150,11,1931
Caudan 56850,37,2957
Caulnes 22350,16,1708
Caumont-Sur-Durance 84510,1,3783
Caurel 22530,24,1595
Cavaillon 84300,1,3167
Cavan 22140,8,2243
Cayres 43510,1,3379
Ceret 66400,1,1792
Cesson-Sevigne 35510,75,4083
Champeaux 35500,2,2803
Champigny-Sur-Marne 94500,1,5700
Chanteloup 35150,9,2331
Chantepie 35135,28,3163
Charavines 38850,1,2025
Charbonnieres-Les-Bains 69260,1,7172
Charonville 28120,1,1658
Chartres-De-Bretagne 35131,21,2833
Chasne-Sur-Illet 35250,13,2567
Chasselay 69380,1,3299
Chateau-Sur-Epte 27420,1,2952
Chateaubourg 35220,45,2455
Chateaudun 28200,1,528
Chateaugiron 35410,69,2680
Chateaulin 29150,22,1646
Chateauneuf-D'ille-Et-Vilaine 35430,13,2249
Chateauneuf-Du-Faou 29520,38,1487
Chatelaudren 22170,10,2194
Chatellerault 86100,1,1128
Chatillon-En-Michaille 01200,1,3853
Chatillon-En-Vendelais 35210,12,1958
Chatou 78400,3,7051
Chaulnes 80320,1,1201
Chauvigne 35490,6,1919
Chavagne 35310,7,3041
Chelun 35640,3,1346
Cherrueix 35120,8,2160
Chevaigne 35250,2,2541
Chilly-Mazarin 91380,1,3114
Chouzy-Sur-Cisse 41150,1,2140
Cintre 35310,9,2476
Civray-De-Touraine 37150,1,3068
Clayes 35590,1,3115
Cleden-Cap-Sizun 29770,6,1925
Cleden-Poher 29270,9,1457
Cleder 29233,30,2427
Cleguerec 56480,21,1554
Cleguer 56620,16,2401
Clermont-L'herault 34800,1,3229
Clohars-Carnoet 29360,50,3912
Clohars-Fouesnant 29950,6,3528
Coadout 22970,2,1798
Coat-Meal 29870,2,2519
Coatreven 22450,3,1482
Coesmes 35134,13,1730
Coetlogon 22210,4,1297
Coetmieux 22400,3,2099
Cognac 16100,1,2194
Collinee 22330,11,1123
Collorec 29530,8,1026
Colombes 92700,2,4850
Colpo 56390,14,2521
Comblessac 35330,1,2143
Combourg 35270,53,2125
Combourtille 35210,2,1643
Combrit 29120,55,3581
Commana 29450,10,1192
Concarneau 29900,127,3299
Concoret 56430,4,416
Conde-Sur-Noireau 14110,1,1753
Confort-Meilars 29790,9,1804
Coray 29370,10,1669
Corcelles-En-Beaujolais 69220,1,1439
Corlay 22320,19,1070
Cornille 35500,5,2152
Cornil 19150,1,1756
Corps-Nuds 35150,12,2295
Corseul 22130,15,1377
Coueron 44220,1,4261
Couffe 44521,1,2500
Coulommiers 77120,1,1895
Courant 17330,1,1670
Courban 21520,1,1110
Courbevoie 92400,2,7144
Courcy 50200,1,2625
Cournon 56200,3,1317
Courtenay 45320,1,1676
Courville 51170,1,1485
Coussac-Bonneval 87500,1,825
Coutansouze 03330,1,644
