Lieu,Nombre de maisons à vendre,Prix moyen au m2
Allaire 56350,26,2069
Allineuc 22460,9,1065
Ambon 56190,23,3064
Andel 22400,1,2800
Argol 29560,21,2829
Arradon 56610,45,5993
Arzal 56190,22,3042
Arzano 29300,6,1796
Arzon 56640,73,5858
Aucaleuc 22100,2,2048
Audierne 29770,39,2354
Augan 56800,10,2006
Auray 56400,77,3758
Baden 56870,86,5087
Bangor 56360,8,6471
Bannalec 29380,62,2179
Baud 56150,91,3920
Baye 29300,3,2205
Beganne 56350,19,2153
Begard 22140,18,2348
Beignon 56380,12,2999
Belle-Isle-En-Terre 22810,9,1411
Belz 56550,62,3444
Benodet 29950,33,4156
Berhet 22140,1,2846
Berne 56240,7,1338
Berric 56230,10,2414
Berrien 29690,20,4803
Beuzec-Cap-Sizun 29790,10,2467
Bignan 56500,7,1876
Billiers 56190,2,4683
Billio 56420,1,991
Binic 22520,44,3519
Bobital 22100,4,2251
Bodilis 29400,5,2173
Bohal 56140,2,1767
Bohars 29820,7,2906
Bolazec 29640,1,1622
Bono 56400,33,3918
Boqueho 22170,9,2100
Botmeur 29690,2,1105
Botsorhel 29650,6,896
Botsorhel 29651,1,3185
Bourbriac 22390,13,1522
Bourg-Blanc 29860,14,2293
Bourseul 22130,9,1708
Branderion 56700,14,1862
Brandivy 56390,8,2540
Brasparts 29190,22,1086
Brech 56400,29,3225
Brehand 22510,4,1904
Brehan 56580,22,1711
Breles 29810,1,1543
Brennilis 29690,4,1232
Brest 29200,208,2645
Briec 29510,16,2185
Brignogan-Plage 29890,16,2408
Bringolo 22170,1,3269
Broons 22250,17,1421
Brusvily 22100,6,1970
Bubry 56310,27,1246
Bulat-Pestivien 22160,1,553
Buleon 56420,3,1559
Caden 56220,8,1933
Calanhel 22160,3,1643
Calan 56240,1,2059
Callac 22160,23,1406
Calorguen 22100,1,2769
Camaret-Sur-Mer 29570,61,3114
Camlez 22450,3,2610
Camoel 56130,10,2743
Camors 56330,43,2357
Campeneac 56800,14,1527
Canihuel 22480,6,1540
Caouennec-Lanvezeac 22300,1,2676
Carantec 29660,75,4911
