TYPECOM,COM,REG,DEP,CTCD,ARR,TNCC,NCC,NCCENR,LIBELLE,CAN,COMPARENT
COM,35001,53.0,35,35D,353,1,ACIGNE,Acigné,Acigné,3513,
COM,35002,53.0,35,35D,351,1,AMANLIS,Amanlis,Amanlis,3512,
COM,35003,53.0,35,35D,353,1,ANDOUILLE NEUVILLE,Andouillé-Neuville,Andouillé-Neuville,3501,
COM,35004,53.0,35,35D,351,0,VAL COUESNON,Val-Couesnon,Val-Couesnon,3501,
COM,35005,53.0,35,35D,351,1,ARBRISSEL,Arbrissel,Arbrissel,3510,
COM,35006,53.0,35,35D,351,1,ARGENTRE DU PLESSIS,Argentré-du-Plessis,Argentré-du-Plessis,3510,
COM,35007,53.0,35,35D,353,1,AUBIGNE,Aubigné,Aubigné,3501,
COM,35008,53.0,35,35D,351,1,AVAILLES SUR SEICHE,Availles-sur-Seiche,Availles-sur-Seiche,3510,
COM,35009,53.0,35,35D,354,0,BAGUER MORVAN,Baguer-Morvan,Baguer-Morvan,3507,
COM,35010,53.0,35,35D,354,0,BAGUER PICAN,Baguer-Pican,Baguer-Pican,3507,
COM,35012,53.0,35,35D,352,0,BAIN DE BRETAGNE,Bain-de-Bretagne,Bain-de-Bretagne,3502,
COM,35013,53.0,35,35D,352,0,BAINS SUR OUST,Bains-sur-Oust,Bains-sur-Oust,3517,
COM,35014,53.0,35,35D,351,0,BAIS,Bais,Bais,3510,
COM,35015,53.0,35,35D,351,0,BALAZE,Balazé,Balazé,3527,
COM,35016,53.0,35,35D,352,0,BAULON,Baulon,Baulon,3511,
COM,35017,53.0,35,35D,354,3,BAUSSAINE,Baussaine,La Baussaine,3506,
COM,35018,53.0,35,35D,351,3,BAZOUGE DU DESERT,Bazouge-du-Désert,La Bazouge-du-Désert,3509,
COM,35019,53.0,35,35D,351,0,BAZOUGES LA PEROUSE,Bazouges-la-Pérouse,Bazouges-la-Pérouse,3501,
COM,35021,53.0,35,35D,351,0,BEAUCE,Beaucé,Beaucé,3509,
COM,35022,53.0,35,35D,353,0,BECHEREL,Bécherel,Bécherel,3515,
COM,35023,53.0,35,35D,353,0,BEDEE,Bédée,Bédée,3516,
COM,35024,53.0,35,35D,353,0,BETTON,Betton,Betton,3503,
COM,35025,53.0,35,35D,351,0,BILLE,Billé,Billé,3508,
COM,35026,53.0,35,35D,353,0,BLERUAIS,Bléruais,Bléruais,3515,
COM,35027,53.0,35,35D,353,0,BOISGERVILLY,Boisgervilly,Boisgervilly,3515,
COM,35028,53.0,35,35D,351,0,BOISTRUDAN,Boistrudan,Boistrudan,3505,
COM,35029,53.0,35,35D,354,0,BONNEMAIN,Bonnemain,Bonnemain,3506,
COM,35030,53.0,35,35D,352,3,BOSSE DE BRETAGNE,Bosse-de-Bretagne,La Bosse-de-Bretagne,3502,
COM,35031,53.0,35,35D,353,3,BOUEXIERE,Bouëxière,La Bouëxière,3513,
COM,35032,53.0,35,35D,353,0,BOURGBARRE,Bourgbarré,Bourgbarré,3512,
COM,35033,53.0,35,35D,352,0,BOURG DES COMPTES,Bourg-des-Comptes,Bourg-des-Comptes,3511,
COM,35034,53.0,35,35D,354,3,BOUSSAC,Boussac,La Boussac,3507,
COM,35035,53.0,35,35D,352,0,BOVEL,Bovel,Bovel,3511,
COM,35037,53.0,35,35D,353,0,BREAL SOUS MONTFORT,Bréal-sous-Montfort,Bréal-sous-Montfort,3524,
COM,35038,53.0,35,35D,351,0,BREAL SOUS VITRE,Bréal-sous-Vitré,Bréal-sous-Vitré,3527,
COM,35039,53.0,35,35D,353,0,BRECE,Brécé,Brécé,3513,
COM,35040,53.0,35,35D,353,0,BRETEIL,Breteil,Breteil,3516,
COM,35041,53.0,35,35D,351,0,BRIE,Brie,Brie,3512,
COM,35042,53.0,35,35D,351,0,BRIELLES,Brielles,Brielles,3510,
COM,35044,53.0,35,35D,354,0,BROUALAN,Broualan,Broualan,3507,
COM,35045,53.0,35,35D,352,0,BRUC SUR AFF,Bruc-sur-Aff,Bruc-sur-Aff,3517,
COM,35046,53.0,35,35D,352,4,BRULAIS,Brulais,Les Brulais,3511,
COM,35047,53.0,35,35D,353,0,BRUZ,Bruz,Bruz,3504,
COM,35049,53.0,35,35D,354,0,CANCALE,Cancale,Cancale,3525,
COM,35050,53.0,35,35D,354,0,CARDROC,Cardroc,Cardroc,3506,
COM,35051,53.0,35,35D,353,0,CESSON SEVIGNE,Cesson-Sévigné,Cesson-Sévigné,3503,
COM,35052,53.0,35,35D,351,0,CHAMPEAUX,Champeaux,Champeaux,3527,
COM,35054,53.0,35,35D,352,0,CHANTELOUP,Chanteloup,Chanteloup,3502,
COM,35055,53.0,35,35D,353,0,CHANTEPIE,Chantepie,Chantepie,3520,
COM,35056,53.0,35,35D,354,3,CHAPELLE AUX FILTZMEENS,Chapelle-aux-Filtzméens,La Chapelle-aux-Filtzméens,3506,
COM,35057,53.0,35,35D,352,3,CHAPELLE BOUEXIC,Chapelle-Bouëxic,La Chapelle-Bouëxic,3511,
COM,35058,53.0,35,35D,353,3,CHAPELLE CHAUSSEE,Chapelle-Chaussée,La Chapelle-Chaussée,3515,
COM,35059,53.0,35,35D,353,3,CHAPELLE DES FOUGERETZ,Chapelle-des-Fougeretz,La Chapelle-des-Fougeretz,3503,
COM,35060,53.0,35,35D,353,3,CHAPELLE DU LOU DU LAC,Chapelle du Lou du Lac,La Chapelle du Lou du Lac,3515,
COM,35061,53.0,35,35D,351,3,CHAPELLE ERBREE,Chapelle-Erbrée,La Chapelle-Erbrée,3527,
COM,35062,53.0,35,35D,351,3,CHAPELLE FLEURIGNE,Chapelle-Fleurigné,La Chapelle-Fleurigné,3509,
COM,35063,53.0,35,35D,351,3,CHAPELLE SAINT AUBERT,Chapelle-Saint-Aubert,La Chapelle-Saint-Aubert,3508,
COM,35064,53.0,35,35D,352,3,CHAPELLE DE BRAIN,Chapelle-de-Brain,La Chapelle-de-Brain,3517,
COM,35065,53.0,35,35D,353,3,CHAPELLE THOUARAULT,Chapelle-Thouarault,La Chapelle-Thouarault,3524,
COM,35066,53.0,35,35D,353,0,CHARTRES DE BRETAGNE,Chartres-de-Bretagne,Chartres-de-Bretagne,3504,
COM,35067,53.0,35,35D,353,0,CHASNE SUR ILLET,Chasné-sur-Illet,Chasné-sur-Illet,3513,
COM,35068,53.0,35,35D,351,0,CHATEAUBOURG,Châteaubourg,Châteaubourg,3505,
COM,35069,53.0,35,35D,353,0,CHATEAUGIRON,Châteaugiron,Châteaugiron,3505,
COM,35070,53.0,35,35D,354,0,CHATEAUNEUF D ILLE ET VILAINE,Châteauneuf-d'Ille-et-Vilaine,Châteauneuf-d'Ille-et-Vilaine,3507,
COM,35071,53.0,35,35D,351,2,CHATELLIER,Châtellier,Le Châtellier,3501,
COM,35072,53.0,35,35D,351,0,CHATILLON EN VENDELAIS,Châtillon-en-Vendelais,Châtillon-en-Vendelais,3527,
COM,35075,53.0,35,35D,351,0,CHAUVIGNE,Chauvigné,Chauvigné,3501,
COM,35076,53.0,35,35D,353,0,CHAVAGNE,Chavagne,Chavagne,3524,
COM,35077,53.0,35,35D,351,0,CHELUN,Chelun,Chelun,3510,
COM,35078,53.0,35,35D,354,0,CHERRUEIX,Cherrueix,Cherrueix,3507,
COM,35079,53.0,35,35D,353,0,CHEVAIGNE,Chevaigné,Chevaigné,3503,
COM,35080,53.0,35,35D,353,0,CINTRE,Cintré,Cintré,3524,
COM,35081,53.0,35,35D,353,0,CLAYES,Clayes,Clayes,3514,
COM,35082,53.0,35,35D,351,0,COESMES,Coësmes,Coësmes,3510,
COM,35084,53.0,35,35D,352,0,COMBLESSAC,Comblessac,Comblessac,3511,
COM,35085,53.0,35,35D,354,0,COMBOURG,Combourg,Combourg,3506,
COM,35086,53.0,35,35D,351,0,COMBOURTILLE,Combourtillé,Combourtillé,3508,
COM,35087,53.0,35,35D,351,0,CORNILLE,Cornillé,Cornillé,3527,
COM,35088,53.0,35,35D,353,0,CORPS NUDS,Corps-Nuds,Corps-Nuds,3512,
COM,35089,53.0,35,35D,352,3,COUYERE,Couyère,La Couyère,3502,
COM,35090,53.0,35,35D,352,0,CREVIN,Crevin,Crevin,3502,
COM,35091,53.0,35,35D,353,2,CROUAIS,Crouais,Le Crouais,3515,
COM,35092,53.0,35,35D,354,0,CUGUEN,Cuguen,Cuguen,3506,
COM,35093,53.0,35,35D,354,0,DINARD,Dinard,Dinard,3526,
COM,35094,53.0,35,35D,354,0,DINGE,Dingé,Dingé,3506,
COM,35095,53.0,35,35D,354,0,DOL DE BRETAGNE,Dol-de-Bretagne,Dol-de-Bretagne,3507,
COM,35096,53.0,35,35D,351,0,DOMAGNE,Domagné,Domagné,3505,
COM,35097,53.0,35,35D,351,0,DOMALAIN,Domalain,Domalain,3510,
COM,35098,53.0,35,35D,352,3,DOMINELAIS,Dominelais,La Dominelais,3502,
COM,35099,53.0,35,35D,353,0,DOMLOUP,Domloup,Domloup,3505,
